Record Date,Country - Currency Description,Exchange Rate,Effective Date,ISO Currency Code
2025-12-31,Afghanistan-Afghani,65.96,2025-12-31,AFN
2025-12-31,Albania-Lek,81.85,2025-12-31,ALL
2025-12-31,Algeria-Dinar,128.921,2025-12-31,DZD
2025-12-31,Angola-Kwanza,912.286,2025-12-31,AOA
2025-12-31,Antigua & Barbuda-East Caribbean Dollar,2.7,2025-12-31,XCD
2025-12-31,Argentina-Peso,1480.0,2025-12-31,ARS
2025-12-31,Armenia-Dram,380.0,2025-12-31,AMD
2025-12-31,Australia-Dollar,1.495,2025-12-31,AUD
2025-12-31,Azerbaijan-Manat,1.7,2025-12-31,AZN
2025-12-31,Bahamas-Dollar,1.0,2025-12-31,BSD
2025-12-31,Bahrain-Dinar,0.377,2025-12-31,BHD
2025-12-31,Bangladesh-Taka,123.0,2025-12-31,BDT
2025-12-31,Barbados-Dollar,2.02,2025-12-31,BBD
2025-12-31,Belize-Dollar,2.0,2025-12-31,BZD
2025-12-31,Benin-Cfa Franc,553.75,2025-12-31,XOF
2025-12-31,Bermuda-Dollar,1.0,2025-12-31,BMD
2025-12-31,Bolivia-Boliviano,6.85,2025-12-31,BOB
2025-12-31,Bosnia-Marka,1.664,2025-12-31,BAM
2025-12-31,Botswana-Pula,12.136,2025-12-31,BWP
2025-12-31,Brazil-Real,5.477,2025-12-31,BRL
2025-12-31,Brunei-Dollar,1.285,2025-12-31,BND
2025-12-31,Bulgaria-Lev New,1.664,2025-12-31,BGN
2025-12-31,Bulgaria-Lev New,0.86,2026-01-15,BGN
2025-12-31,Burkina Faso-Cfa Franc,553.75,2025-12-31,XOF
2025-12-31,Burundi-Franc,3000.0,2025-12-31,BIF
2025-12-31,Cambodia-Riel,4001.0,2025-12-31,KHR
2025-12-31,Cameroon-Cfa Franc,556.44,2025-12-31,XAF
2025-12-31,Canada-Dollar,1.369,2025-12-31,CAD
2025-12-31,Cape Verde-Escudo,93.81,2025-12-31,CVE
2025-12-31,Cayman Islands-Dollar,0.82,2025-12-31,KYD
